id,status,notes,dso_id,ready_to_go
311,1,"Interacting pair (with C 61, in a separate record) with very faint tails.",311,1
312,1,"Interactive pair (with C 60), with faint tails.",312,1
313,1,"Large, with a small core, extended disk with one separated spiral arm to N.",313,1
314,1,"Medium concentrated.   Distant compared to most GCs.",314,1
315,1,"Large and mostly round with asymmetrical spiral arms.    Inner core has structure.   Elliptical PGC 10479 is embedded with the spiral structure NW which could be interacting.",315,1
316,1,"Comet-shaped with variable star R CrA at the apex.",316,1
317,1,"Two lobes, E-W.   Central star not detectable.",317,1
318,1,"Large with >150 stars mag 10+.",318,1
319,1,"Spindle-shaped, brighter on W side.   Mottled structure.",319,1
320,1,"Poor cluster, not well-defined.",320,1
321,1,"Nice spiral with disjointed arms.",321,1
322,1,"Face-on galaxy with a bright core and fluffy disk.",322,1
323,1,"A nearby galaxy that is mostly interesting because of its spatial proximity to Mirach, making it a challenge to observe visually.",323,1
324,1,"Elongated with very faint features that might be lost in the halo.",324,1
325,1,"Brightest of a cluster of small faint galaxies.   Very diffuse halo against a bright nucleus.   Has some faint structure that might appear as mottling against the disk.",325,1
326,1,"Not particularly interesting visually, but has a smaller similar companion (NGC 586, mag 13, 5' SE).",326,1
327,1,"Standard elliptical.  NGC 600 is a small SBd (mag 13) 17' S.",327,1
328,1,"Elongated but with 5 spiral arms.   9.5 mag star on NE edge at the tip of the brightest arm.",328,1
329,1,"Tilted spiral.  Bright core and ""linear"" inner disk with a fainter outer disk.",329,1
330,1,"Small and slightly loose with stars 10th magnitude and fainter.",330,1
331,1,"Bright and large with a small core and elongated halo.",331,1
332,1,"Nearly edge-on with a bright nucleus and inner disk, but otherwise featureless.",332,1
333,1,"Bright and large with filamentary arms.",333,1
334,1,"Bright with ""knobby"" bar and bright halo.",334,1
335,1,"Small faint core with very diffuse arms in the disk.",335,1
336,1,"Elongated with bright nucleus and hazy disk.  No features.  A long trail of stars adjacent to the SE.   A few foreground 14th mag stars.",336,1
338,1,"Elongated with structured spiral arms.",338,1
339,1,"About 200 stars, concentrated with stars mag 12+ with several outer linear streams and several stars mag 7-9 on the periphery in a pentagon formation.   Very pretty.",339,1
340,1,"About 40 stars, mag 9+.  not concentrated.  Dark nebula to NW.",340,1
341,1,"Brightest member of the Eridanus A group.  Several galaxies to the W and NW.",341,1
342,1,"About 15 faint stars next to a 7th magnitude (double) star.   Not well-detached.",342,1
343,1,"Egg-shaped with other stars trailing off to the NW.   About 70 stars mag 11+, detached, slight concentration.",343,1
344,1,"",344,1
345,1,"",345,1
346,1,"About 60 stars, detached, not concentrated, mag 11+.  Adjacent to NGC 1807.",346,1
347,1,"",347,1
348,1,"",348,1
349,1,"Distorted spiral: tight inner arms (about 0.6-0.7' from the core), with a fainter misshapen outer arm ~2' to the S/SW.",349,1
351,1,"Cluster adjoining S end of M 42.",351,1
352,1,"Odd complex nebula with a bright center overlaid with small dark nebula, surrounded by faint intricate nebulosity.",352,1
353,1,"Saturn-sized with a bright inner ring surround by a fainter outer haze.   Central star mag 14.9.",353,1
354,1,"A faint cluster of stars that appear to be ""spilling out"" from 6th magnitude star HD 40626.",354,1
355,1,"Large range of brightness (mag 7+), about 40 stars concentrated.",355,1
356,1,"Small faint nebula.",356,1
357,1,"Slight concentration, stars mag 8+.",357,1
