2045	NGC 2563	Cancer Cluster	CNC	I						Sp. Gal.		08.3432	+21.068	12.39	12.75	0.22	1.5' x 1.2'	1	0	4	
2039	NGC 2535		CNC	I						Sp. Gal.		08.1870	+25.207	12.6	12.91	0.16	1.6' x 1.0'	1	2	2	
132	M 106		CVN	S						Sp. Gal.	SAB(s)bc	12.3160	+47.304	8.4	13.46	0.58	18.6' x 7.2'	4	4	3	NGC 4258, H400 221
128	M 3		CVN	S						Glob. Cl.	VI	13.7032	+28.377	6.2	12.21	1.07	18'	4	3	0	NGC 5272, Mel 119
129	M 51	Whirlpool Galaxy	CVN	S						Sp. Gal.	SA(s)bc pec	13.4980	+47.195	8.4	12.56	0.94	11.2' x 6.9'	4	4	2	NGC 5194, H400 292
130	M 63	Sunflower Galaxy	CVN	S						Sp. Gal.	SA(rs)bc	13.2637	+42.029	9.3			12.6' x 7.2'	4	3	0	NGC 5055
131	M 94	Croc's Eye Galaxy	CVN	S						Sp. Gal.	(R)SA(r)ab, LINER	12.8481	+41.121	8.99	13.0	0.77	11.2' x 9.1'	4	3	0	NGC 4736
133	C 21	The Box Galaxy	CVN	M						Irr. Gal.	IBm	12.4700	+44.094	10.0	12.73	0.88	6.2' x 4.4'	3	4	0	NGC 4449, H400 243
135	C 26	Silver Needle Galaxy	CVN	S						Sp. Gal.	Sc	12.2916	+37.807	10.18	13.48	0.57	17.0' x 2.2'	3	3	0	NGC 4244
148	C 32	Whale Galaxy	CVN	S						Bar. Sp. Gal.	SB(s)d	12.7022	+32.541	9.8	12.45	0.99	15.5' x 2.7'	3	4	1	NGC 4631, H400 265
134	NGC 4490	Cocoon Galaxy	CVN	M						Bar. Sp. Gal.	SB(s)dpec	12.5101	+41.644	9.8	12.24	1.07	6.3' x 3.1'	3	3	1	H400 250, Ast24 11
495	NGC 4618		CVN	M						Bar. Sp. Gal.	SB(rs)m	12.6924	+41.151	11.2	11.91	1.26	4.2' x 3.4'	3	3	1	H400 264
150	NGC 4656	Crowbar Galaxy	CVN	M						Bar. Sp. Gal.	9	12.7327	+32.168	11.0	10.64	1.71	12.9'	3	4	0	H400 269
515	NGC 5033	Waterbug Galaxy	CVN	I						Sp. Gal.	SA(s)c	13.2243	+36.594	10.8	13.79	0.51	10.7' x 5.0'	3	3	0	H400 290
706	NGC 5395	Heron Galaxy	CVN	I						Sp. Gal.	3	13.9772	+37.424	12.48	13.87	0.47	3.0' x 1.5'	3	2	2	
292	C 29		CVN	I						Sp. Gal.	SAB(rs)bc	13.1823	+37.059	10.6	15.43	-0.15	5.8' x 2.8'	2	1	0	NGC 5005, H400 289
457	NGC 4111		CVN	M						Lent. Gal.	S0	12.1175	+43.066	10.7	10.61	1.78	4.6' x 1.0'	2	3	3	H400 210
2229	NGC 4145		CVN	I						Sp. Gal.	Sb	12.1667	+39.884	12.2	14.72	-0.57	4.3' x 3.0'	2	3	0	
460	NGC 4151	Eye of Sauron	CVN	I						Seyf. Gal.	(R')SAB(rs)ab:	12.1757	+39.406	11.5	13.03	0.81	6.4' x 5.5'	2	4	1	H400 214, Ast24 3
2233	NGC 4217		CVN	I						Sp. Gal.		12.2636	+47.092	12.4	14.26	-0.38	4.6' x 1.5'	2	3	1	
463	NGC 4228		CVN	M						Irr. Gal.		12.2609	+36.327	10.2	12.96	0.84	8.4' x 6.6'	2	3	0	NGC 4214, H400 217
901	NGC 4242		CVN	I						Sp. Gal.	9	12.2912	+45.620	10.83	13.76	0.52	5.0' x 0.4'	2	1	0	
