ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
F00996	NGC 4465	galaxy--spiral	Sc	SAc	S	G	5.2 ± 2.5	5.2	Sc			
F01576	NGC 4466	galaxy--spiral	SAb	SAb	S	G	2.7 ± 1.7	2.7	Sb			
F00997	NGC 4467	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.7	-4.8	E			
F00245	NGC 4468	galaxy--spiral		E-S0	L	G	-2.7 ± 0.8	-2.7	E-S0		R	
D02261	NGC 4469	galaxy--lenticular	S0-Aa	S0-a	L	G	0.3 ± 0.7	0.3	S0-a	B		
F00242	NGC 4470	galaxy--spiral	SAab	SAab	S	G	1.9 ± 2.1	1.9	Sab			
F00249	NGC 4473	galaxy--elliptical	E5	E3	E	G	-4.7 ± 0.7	-4.7	E			
F00244	NGC 4474	galaxy--spiral		S0	L	G	-1.9 ± 0.9	-1.9	S0	B		
F00247	NGC 4476	galaxy--lenticular	E/S0	E-S0	L	G	-2.9 ± 1.0	-2.9	E-S0	B	R	
D00188	NGC 4477	galaxy--lenticular	SB(s)0:?	S0	L	G	-1.7 ± 0.7	-1.7	S0	B	R	
F00246	NGC 4478	galaxy--elliptical	E2	E3	E	G	-4.9 ± 0.4	-4.9	E			
F00250	NGC 4479	galaxy--spiral		S0	L	G	-1.9 ± 0.5	-1.9	S0	B		
F00255	NGC 4481	galaxy--spiral		SAab	S	G	2.0 ± 1.2	2	Sab			
D02262	NGC 4483	galaxy--lenticular	S0-Aa	S0-a	L	G	-1.4 ± 0.7	-1.4	S0-a	B	R	
F00729	NGC 4485	galaxy--unclassified		Im	X	G	9.7 ± 1.0	9.7	I	B		
F00248	NGC 4486A	galaxy--elliptical	E3	E3	E	G	-5.0 ± 0.4	-5	E			
F01721	NGC 4486B	galaxy--elliptical	E3	E3	E	G	-5.0 ± 0.8	-5	E			
D00908	NGC 4487	galaxy--spiral	SAB(rs)cd	SA(rs)c	S	G	6.0 ± 0.3	6	Sc	B		
D02263	NGC 4489	galaxy--elliptical	E3	E3	E	G	-4.7 ± 0.9	-4.7	E		R	
D00134	NGC 4490	barred-spiral	SB(s)dpec	SB(s)cd pec	B	G	7.0 ± 0.4	7	SBcd	B		
D02264	NGC 4491	barred-spiral	SBa	SBa	B	G	1.0 ± 1.1	1	SBa	B		
F00243	NGC 4492	galaxy--spiral	SAa	SAa	S	G	1.0 ± 0.6	1	Sa			
D00486	NGC 4494	galaxy--elliptical	E1-2	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00253	NGC 4497	galaxy--spiral		S0-a	L	G	-1.1 ± 1.1	-1.1	S0-a	B	R	
F00251	NGC 4498	barred-spiral	SBc	SAc	S	G	6.4 ± 0.9	6.4	Sc	B		
D00784	NGC 45	galaxy--spiral	SA(s)dm	SABd	I	G	7.8 ± 0.7	7.8	SABd	B		
F00252	NGC 4502	galaxy--spiral	Sc	SAc	S	G	5.9 ± 0.9	5.9	Sc	B		
D02265	NGC 4503	galaxy--lenticular	S0	S0	L	G	-1.7 ± 1.8	-1.7	S0	B	R	
D02266	NGC 4504	galaxy--spiral	Sc	SABc	I	G	6.0 ± 0.6	6	SABc	B		
F01327	NGC 4512	galaxy--unclassified		SAd	S	G	7.9 ± 0.7	7.9	Sd	B		
D02267	NGC 4515	galaxy--elliptical	E/S0	E-S0	L	G	-3.2 ± 0.7	-3.2	E-S0			
F00664	NGC 4516	galaxy--unclassified		SBa	B	G	1.5 ± 1.3	1.5	SBa	B	R	
D00687	NGC 4517	galaxy--spiral	Scd	SAcd	S	G	6.0 ± 0.3	6	Sc			
F01720	NGC 4517A	barred-spiral	SBd	SAd	S	G	7.6 ± 0.9	7.6	Sd	B	R	
F00984	NGC 4518	galaxy--unclassified		S0-a	L	G	-0.9 ± 2.2	-0.9	S0-a	B	R	
D00905	NGC 4519	galaxy--spiral	SAcd	SAcd	S	G	6.9 ± 0.4	6.9	Scd	B	R	
F00254	NGC 4520	galaxy--elliptical	E/S0	E-S0	L	G	-3.1 ± 0.7	-3.1	E-S0			
D02268	NGC 4521	barred-spiral	SB0	S0-a	L	G	-0.2 ± 0.7	-0.2	S0-a	B		
D02269	NGC 4522	galaxy--spiral		SAc	S	G	5.9 ± 0.6	5.9	Sc	B		
D00487	NGC 4526	galaxy--lenticular	SB0s	S0	L	G	-1.9 ± 0.4	-1.9	S0	B		
D00488	NGC 4527	galaxy--spiral	SAB(s)bc	SAB(s)b	I	G	4.0 ± 0.2	4	SABb	B		
D02270	NGC 4528	galaxy--spiral		S0	L	G	-2.0 ± 0.5	-2	S0	B		
D02271	NGC 4531	galaxy--lenticular	SB0+	S0-a	L	G	-0.1 ± 2.4	-0.1	S0-a	B		
D02272	NGC 4532	irregular-galaxy	Im	Im	X	G	9.7 ± 0.8	9.7	I	B		
F00986	NGC 4533	galaxy--unclassified	SAcd	SAcd	S	G	7.1 ± 1.3	7.1	Scd			
D00489	NGC 4535	barred-spiral	SAB(s)c	SA(s)c	S	G	5.0 ± 0.4	5	Sc	B		
D00490	NGC 4536	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.3 ± 0.7	4.3	SABb	B		
D02273	NGC 4540	galaxy--spiral	SAB(rs)cd	SAB(rs)c	I	G	6.2 ± 0.9	6.2	SABc	B		
D02274	NGC 4545	galaxy--spiral	SAc	SAc	S	G	5.6 ± 0.6	5.6	Sc	B		
D00491	NGC 4546	galaxy--lenticular	SB0	E-S0	L	G	-2.7 ± 0.6	-2.7	E-S0	B		
D00492	NGC 4550	galaxy--lenticular	SB0:sp	S0	L	G	-2.0 ± 0.7	-2	S0	B		
F00257	NGC 4551	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
D02275	NGC 4555	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00666	NGC 4559	galaxy--spiral	Sa:	SAc	S	G	6.0 ± 0.4	6	Sc	B		
D02276	NGC 4561	barred-spiral	SBc	SBcd	B	G	7.2 ± 1.2	7.2	SBcd	B		
F00668	NGC 4562	galaxy--spiral	Sc	SBcd	B	G	7.1 ± 1.4	7.1	SBcd	B		
F00987	NGC 4564	galaxy--elliptical	E6	E3	E	G	-4.6 ± 0.7	-4.6	E	B		
F01142	NGC 4565	galaxy--spiral	Sc	SAb	S	G	3.2 ± 0.7	3.2	Sb			
F00988	NGC 4567	galaxy--spiral	SAbc	SAbc	S	G	4.0 ± 0.3	4	Sbc			
D00688	NGC 4568	galaxy--spiral	SA(rs)bc	SA(rs)bc	S	G	4.1 ± 0.3	4.1	Sbc			
D00493	NGC 4570	galaxy--lenticular	S0	S0	L	G	-1.9 ± 1.0	-1.9	S0	B		
D00692	NGC 4571	galaxy--spiral	Sc	SAc	S	G	6.4 ± 0.8	6.4	Sc		R	
F01328	NGC 4572	galaxy--unclassified	SAc	SAc	S	G	5.0 ± 2.0	5	Sc			
D02277	NGC 4578	galaxy--elliptical	E3	S0	L	G	-2.1 ± 0.6	-2.1	S0		R	
D02278	NGC 4581	galaxy--elliptical	E3	E3	E	G	-4.2 ± 0.8	-4.2	E	B		
F01000	NGC 4584	galaxy--spiral	SAa	SAa	S	G	1.4 ± 1.2	1.4	Sa	B		
D02279	NGC 4589	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
D02280	NGC 4592	galaxy--spiral	SAd	SAd	S	G	7.9 ± 0.5	7.9	Sd			
D02284	NGC 4593	barred-spiral	(R)SB(rs)b	SA(rs)b	S	G	3.0 ± 0.4	3	Sb	B		
D02281	NGC 4595	galaxy--spiral	Sc	SABb	I	G	4.0 ± 1.9	4	SABb	B		
D00494	NGC 4596	barred-spiral	SB(r)0+	S0-a	L	G	-0.8 ± 0.8	-0.8	S0-a	B	R	
D02282	NGC 4597	barred-spiral	SBm	SAm	S	G	8.7 ± 1.1	8.7	Sm	B		
D02283	NGC 4598	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.5	-2	S0	B		
