ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
F00871	NGC 532	galaxy--spiral	Sa:	SAab	S	G	1.9 ± 0.6	1.9	Sab			
D00519	NGC 5322	galaxy--elliptical	E2	E3	E	G	-4.8 ± 0.4	-4.8	E			
D02357	NGC 5324	galaxy--spiral	Sbc	SAc	S	G	4.9 ± 0.5	4.9	Sc			
D02358	NGC 5326	galaxy--spiral	Sa	SAa	S	G	0.8 ± 0.6	0.8	Sa			
D02359	NGC 5327	barred-spiral	SBcdr	SAb	S	G	3.2 ± 0.6	3.2	Sb	B		
D02360	NGC 5328	galaxy--elliptical	E1	E3	E	G	-4.7 ± 1.0	-4.7	E			
D02361	NGC 5329	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
F00014	NGC 533	galaxy--elliptical	E	E3	E	G	-4.9 ± 0.4	-4.9	E			
F00333	NGC 5330	galaxy--elliptical		E3	E	G	-4.5 ± 1.1	-4.5	E			
F01033	NGC 5331	galaxy--unclassified		SABb	B	G	3.3 ± 1.5	3.3	SABb			PGC 49264
D02362	NGC 5333	galaxy--spiral	S0	S0	L	G	-1.8 ± 0.8	-1.8	S0	B	R	
D02363	NGC 5334	galaxy--spiral	SAc	SAc	S	G	5.3 ± 0.7	5.3	Sc	B		
F00332	NGC 5337	galaxy--spiral	Sab	SBab	B	G	1.7 ± 1.2	1.7	SBab	B	R	
F01609	NGC 5338	barred-spiral	SB0:	S0	L	G	-2.0 ± 0.5	-2	S0	B		
D02364	NGC 5345	galaxy--spiral	SAa	SAa	S	G	1.1 ± 0.8	1.1	Sa		R	
D02365	NGC 5347	galaxy--spiral	SAab	SAab	S	G	2.0 ± 0.3	2	Sab	B	R	
F00339	NGC 5348	barred-spiral	SBbc	SBbc	B	G	3.8 ± 0.7	3.8	SBbc	B		
F01090	NGC 535	galaxy--lenticular	S0	S0-a	L	G	-1.2 ± 0.6	-1.2	S0-a			
F00334	NGC 5350	galaxy--spiral	Sb	SAbc	S	G	3.6 ± 0.6	3.6	Sbc	B	R	
D00704	NGC 5353	galaxy--spiral	S0	S0	L	G	-2.1 ± 0.9	-2.1	S0			
F00335	NGC 5354	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.7	-2.1	S0			
F00336	NGC 5355	galaxy--elliptical		S0	L	G	-2.0 ± 1.0	-2	S0			
D02366	NGC 5356	galaxy--spiral	SAbc	SAbc	S	G	3.8 ± 0.6	3.8	Sbc	B		
F00337	NGC 5358	galaxy--lenticular	S0	S0-a	L	G	-0.4 ± 0.8	-0.4	S0-a	B		
D01887	NGC 536	barred-spiral	SBb	SAb	S	G	3.1 ± 0.2	3.1	Sb	B	R	
F01034	NGC 5360	galaxy--lenticular	S0-Aa	S0-a	L	G	0.1 ± 1.0	0.1	S0-a	B		
F00338	NGC 5363	galaxy--lenticular	S0-Aa	S0-a	L	G	0.1 ± 2.6	0.1	S0-a			
D00521	NGC 5364	galaxy--spiral	5	SAbc	S	G	4.0 ± 0.2	4	Sbc		R	
D01357	NGC 5365	galaxy--lenticular	S0	S0	L	G	-2.4 ± 0.9	-2.4	S0	B	R	
D00705	NGC 5371	galaxy--spiral	Sbc	SAbc	S	G	4.0 ± 0.2	4	Sbc	B		
F01610	NGC 5373	galaxy--elliptical	E/S0	E-S0	L	G	-3.5 ± 2.1	-3.5	E-S0			
D00708	NGC 5375	barred-spiral	SBab	SBab	B	M3	2.5 ± 0.7	2.5	SBab	B	R	
F01556	NGC 5376	galaxy--spiral	SABa	SABa	I	G	2.4 ± 0.6	2.4	SABa	B	R	
D00709	NGC 5377	barred-spiral	(R)SB(s)a	SA(s)a	S	G	1.0 ± 0.3	1	Sa	B	R	
D02368	NGC 5378	galaxy--spiral	SAa	SAa	S	G	1.0 ± 0.4	1	Sa	B	R	
F00340	NGC 5379	galaxy--lenticular	S0	S0	L	G	-1.7 ± 0.9	-1.7	S0	B	R	
F01088	NGC 538	galaxy--spiral	Sa	SBab	B	G	1.6 ± 0.8	1.6	SBab	B		
F00342	NGC 5380	galaxy--spiral		E-S0	L	G	-2.8 ± 0.6	-2.8	E-S0		R	
D02369	NGC 5383	galaxy--spiral	SAb	SAb	S	G	3.1 ± 0.5	3.1	Sb	B		
D02690	NGC 5389	galaxy--lenticular	S0/a	S0-a	L	G	-0.4 ± 1.0	-0.4	S0-a	B	R	
F01156	NGC 5394	galaxy--unclassified	SBa	SBb	B	G	3.1 ± 0.6	3.1	SBb	B		
D00706	NGC 5395	galaxy--spiral	SABb	SABb	I	G	3.2 ± 0.7	3.2	SABb	B		
D02370	NGC 5398	galaxy--spiral	SAd	SAd	S	G	7.9 ± 0.8	7.9	Sd	B		
F00615	NGC 54	galaxy--unclassified		SBa	B	G	1.2 ± 1.3	1.2	SBa	B	R	
F01557	NGC 5402	barred-spiral	SBc	SBc	B	G	5.0 ± 1.4	5	SBc	B		
D02371	NGC 5406	galaxy--spiral	SAbc	SAbc	S	G	3.8 ± 0.6	3.8	Sbc	B		
F00343	NGC 5407	galaxy--lenticular	S0	E3	E	G	-5.0 ± 1.4	-5	E			
D02372	NGC 5408	irregular-galaxy	IB	IBm	X	G	9.9 ± 0.5	9.9	IB	B		
D01888	NGC 541	galaxy--elliptical	E3	E3	E	G	-3.6 ± 1.6	-3.6	E			
D01359	NGC 5419	galaxy--elliptical	E3	E3	E	G	-4.1 ± 1.2	-4.1	E			
F01043	NGC 542	galaxy--spiral	Scd	SAbc	S	G	3.6 ± 3.9	3.6	Sbc			
D02373	NGC 5426	galaxy--spiral	Sbc	SAc	S	G	5.0 ± 0.5	5	Sc			
F00344	NGC 5427	galaxy--spiral	Sbc	SABc	I	G	5.0 ± 0.5	5	SABc	B		
F01091	NGC 543	galaxy--lenticular	S0	E-S0	L	G	-2.8 ± 1.3	-2.8	E-S0			
D02374	NGC 5430	galaxy--spiral	Sb(s)b	SB(s)b	B	G	3.1 ± 0.4	3.1	SBb	B		
D02375	NGC 5440	galaxy--spiral	SAa	SAa	S	G	1.0 ± 0.5	1	Sa			
F00345	NGC 5441	galaxy--spiral		SABc	I	G	4.1 ± 1.9	4.1	Sbc			
F00346	NGC 5444	galaxy--spiral		E3	E	G	-4.1 ± 0.7	-4.1	E			
F00347	NGC 5445	galaxy--spiral		S0	L	G	-1.8 ± 0.7	-1.8	S0	B	R	
D02376	NGC 5448	galaxy--spiral	(R)SAB(r)a	SA(r)a	S	G	1.4 ± 0.8	1.4	Sa	B	R	
F00012	NGC 545	galaxy--lenticular	S0	E-S0	L	G	-2.8 ± 0.7	-2.8	E-S0			
D02377	NGC 5464	barred-spiral	SBm	SBm	B	G	9.5 ± 1.8	9.5	SBm	B		
D02378	NGC 5468	galaxy--spiral	Sc	SABc	I	G	6.0 ± 0.3	6	SABc	B		
F00013	NGC 547	galaxy--elliptical	E	E3	E	G	-4.8 ± 0.5	-4.8	E			
F00348	NGC 5472	galaxy--spiral	Sab	SAab	S	G	2.1 ± 0.7	2.1	Sab		R	
D00522	NGC 5473	galaxy--lenticular	E/SB0	E-S0	L	G	-2.6 ± 0.7	-2.6	E-S0	B		
D00523	NGC 5474	dwarf-galaxy	SA(s)cd pec	SA(s)c pec	S	G	6.1 ± 0.6	6.1	Sc			
F00940	NGC 5477	galaxy--unclassified		SAm	S	G	8.9 ± 0.6	8.9	Sm			
F01092	NGC 548	galaxy--unclassified		E3	E	G	-3.8 ± 0.6	-3.8	E		R	
D02379	NGC 5480	galaxy--spiral	Sc	SAc	S	G	4.9 ± 0.5	4.9	Sc			
F00349	NGC 5481	galaxy--elliptical	E3	E3	E	G	-3.9 ± 1.0	-3.9	E			
D01360	NGC 5483	galaxy--spiral	Sc	SAc	S	G	4.9 ± 0.5	4.9	Sc	B		
F00350	NGC 5484	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.9	-4.8	E			
D02380	NGC 5485	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.6	-2	S0			
F00351	NGC 5486	galaxy--spiral	SABm	SABm	I	G	8.7 ± 0.6	8.7	SABm	B		
D02641	NGC 5494	galaxy--spiral	Sc	SAc	S	G	5.0 ± 0.4	5	Sc			
D02381	NGC 5495	galaxy--spiral	Sc	SAc	S	G	5.0 ± 0.4	5	Sc	B	R	
D01889	NGC 550	barred-spiral	SBa	SBa	B	G	1.2 ± 0.8	1.2	SBa	B		
F00352	NGC 5506	galaxy--spiral	Sa	SABa	I	G	1.2 ± 1.1	1.2	SABa	B		
D02382	NGC 5507	galaxy--lenticular	S0	S0	L	G	-2.3 ± 0.7	-2.3	S0	B	R	
F00575	NGC 5524	galaxy--unclassified		SAb	S	G	2.9 ± 1.3	2.9	Sb	B		
D02383	NGC 5525	galaxy--lenticular	S0	S0	L	G	-1.7 ± 1.1	-1.7	S0	B		
F00574	NGC 5527	galaxy--unclassified		SAb	S	G	2.9 ± 1.3	2.9	Sb	B		
D00196	NGC 5529	galaxy--spiral	SAbc	SABc	I	G	5.1 ± 0.8	5.1	SABc	B		
D01368	NGC 5530	galaxy--spiral	SA(rs)bc	SAB(rs)b	I	G	4.2 ± 0.5	4.2	SABb	B		
F00353	NGC 5531	galaxy--spiral	S0	S0	L	G	-2.3 ± 1.3	-2.3	S0			
D02384	NGC 5532	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.7	-2.1	S0			
F00354	NGC 5538	galaxy--spiral	SAbc	S?	S	G	1.9 ± 4.2	1.9	S?			
F00355	NGC 5542	galaxy--elliptical	E4	E3	E	G	-5.0 ± 2.0	-5	E			
F01611	NGC 5543	galaxy--spiral	Sab	SAab	S	G	2.0 ± 2.0	2	Sab			
F00576	NGC 5544	galaxy--unclassified		S0-a	L	G	0.4 ± 0.6	0.4	S0-a	B	R	
F00577	NGC 5545	galaxy--unclassified		SAbc	S	G	4.0 ± 0.1	4	Sbc			
F00356	NGC 5546	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
D02385	NGC 5549	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
D01369	NGC 5556	galaxy--spiral	SBc	SAcd	S	G	6.7 ± 0.7	6.7	Scd	B		
D00197	NGC 5557	galaxy--elliptical	E3	E3	E	G	-4.7 ± 0.7	-4.7	E			
F00358	NGC 5560	galaxy--spiral	SAb	SAb	S	G	3.1 ± 0.4	3.1	Sb	B		
D00524	NGC 5566	barred-spiral	1	SBab	B	G	1.6 ± 0.7	1.6	SBab	B	R	
F00359	NGC 5569	galaxy--spiral	SABc	SABc	I	G	6.0 ± 0.8	6	SABc	B		
F01089	NGC 557	galaxy--spiral	S0a	S0-a	L	G	-0.6 ± 0.8	-0.6	S0-a	B		
F00357	NGC 5570	barred-spiral	SBa	SBa	B	G	1.1 ± 0.6	1.1	SBa	B		
F00360	NGC 5574	galaxy--lenticular	E/S0	E-S0	L	G	-2.7 ± 0.8	-2.7	E-S0	B		
D00525	NGC 5576	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
F00361	NGC 5577	galaxy--spiral	SAbc	SAbc	S	G	3.8 ± 0.6	3.8	Sbc		R	
D02386	NGC 5584	galaxy--spiral	SABc	SABc	I	G	5.9 ± 0.3	5.9	SABc	B		
D00711	NGC 5585	galaxy--spiral	SAB(s)d	SAB(s)c	I	G	6.9 ± 0.5	6.9	SABc	B		
D02387	NGC 5587	galaxy--lenticular	S0-a	S0-a	L	G	0.1 ± 0.7	0.1	S0-a	B		
D02388	NGC 5592	galaxy--spiral	Sb	SAbc	S	G	3.9 ± 0.5	3.9	Sbc	B		
D02389	NGC 5595	galaxy--spiral	Sc	SABc	I	G	4.9 ± 0.6	4.9	SABc	B		
F00362	NGC 5597	barred-spiral	SBc	SAc	S	G	6.0 ± 0.3	6	Sc	B	R	
D00712	NGC 5600	galaxy--spiral	SABc	SABc	I	G	4.8 ± 0.6	4.8	SABc	B		
D02390	NGC 5605	galaxy--spiral	Sbc	SABc	I	G	4.9 ± 0.5	4.9	SABc	B		
D02391	NGC 5612	galaxy--spiral	Sa:	SAab	S	G	2.2 ± 0.6	2.2	Sab			
F00578	NGC 5613	galaxy--unclassified		S0-a	L	G	-0.7 ± 0.5	-0.7	S0-a	B	R	
D02392	NGC 5614	galaxy--spiral	SAab	SAab	S	G	1.7 ± 0.7	1.7	Sab		R	
F00579	NGC 5615	galaxy--unclassified		S?	S	G	5.0 ± 5.0	5	S?			
D02393	NGC 5623	galaxy--elliptical	E3	E3	E	G	-4.7 ± 0.8	-4.7	E	B		
D00526	NGC 5631	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.7	-2	S0			
D02394	NGC 5633	galaxy--spiral	Sb	SAb	S	G	3.2 ± 0.6	3.2	Sb		R	
F01612	NGC 5636	galaxy--lenticular	S0-Aa	S0-a	L	G	-0.3 ± 1.0	-0.3	S0-a	B	R	
D00925	NGC 5638	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
D02395	NGC 5645	barred-spiral	SBcd	SBcd	B	G	6.6 ± 0.9	6.6	SBcd	B		
F00363	NGC 5646	galaxy--spiral		SAb	S	G	3.2 ± 0.6	3.2	Sb	B		
D02396	NGC 5653	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.7	3	Sb		R	
D02397	NGC 5656	galaxy--spiral	SAab	SAab	S	G	2.0 ± 0.5	2	Sab			
D02398	NGC 5660	galaxy--spiral	SABc	SABc	I	G	5.2 ± 0.5	5.2	SABc	B		
D02399	NGC 5665	galaxy--spiral	SAc	SAc	S	G	5.0 ± 0.4	5	Sc	B	R	
D02400	NGC 5668	galaxy--spiral	SAcd	SAcd	S	G	6.9 ± 0.4	6.9	Scd		R	
D02401	NGC 5670	barred-spiral	SB0	S0	L	G	-2.0 ± 0.4	-2	S0	B		
F00490	NGC 5673	galaxy--unclassified		SAc	S	G	5.2 ± 0.5	5.2	Sc	B		
D00198	NGC 5676	galaxy--spiral	Sc	SAc	S	G	4.6 ± 0.9	4.6	Sc			
D00713	NGC 5678	barred-spiral	SABb	SABb	I	G	3.3 ± 0.8	3.3	SABb	B		
D01891	NGC 568	galaxy--lenticular	S0	E-S0	L	G	-3.0 ± 0.7	-3	E-S0			
F00580	NGC 5682	galaxy--unclassified		SAb	S	G	3.2 ± 0.9	3.2	Sb	B		
F00581	NGC 5683	galaxy--unclassified	?rs	S0-a	L	G	0.1 ± 0.5	0.1	S0-a	B	R	
D02402	NGC 5687	galaxy--lenticular	S0	E-S0	L	G	-3.2 ± 1.0	-3.2	E-S0			
D02403	NGC 5688	barred-spiral	SBc	SAc	S	G	5.0 ± 0.4	5	Sc	B		
D00199	NGC 5689	galaxy--lenticular	S0	S0-a	L	G	0.4 ± 0.6	0.4	S0-a	B		
D02404	NGC 5691	galaxy--spiral	SAa	SAa	S	G	1.2 ± 0.7	1.2	Sa	B		
F00582	NGC 5693	galaxy--unclassified		SAcd	S	G	6.9 ± 0.3	6.9	Scd	B	R	
D01849	NGC 57	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.4	-4.9	E			
F00583	NGC 5700	barred-spiral	SB	SBb	B	G	3.0 ± 2.0	3	SBb	B		
D00924	NGC 5701	galaxy--spiral	(R)SB(rs)0/a	S0-a	L	G	-0.3 ± 0.9	-0.3	S0-a	B	R	
D00926	NGC 5713	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.3	4	SABb	B	R	
D02405	NGC 5718	galaxy--lenticular	E/S0	E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0			
F01035	NGC 5719	galaxy--spiral	SABa	SABa	I	G	2.3 ± 0.6	2.3	SABa	B		
D02406	NGC 5729	galaxy--spiral	SAb	SAb	S	G	3.2 ± 0.7	3.2	Sb			
F00368	NGC 5738	galaxy--lenticular	S0	S0	L	G	-1.9 ± 0.8	-1.9	S0	B		
F01498	NGC 574	barred-spiral	SBb	SBb	B	G	3.1 ± 0.6	3.1	SBb	B		
D02407	NGC 5740	galaxy--spiral	SAB(rs)b	SA(rs)b	S	G	3.0 ± 0.4	3	Sb	B	R	
D00528	NGC 5746	barred-spiral	SAb	SAb	S	G	3.0 ± 0.4	3	Sb	B		
D02409	NGC 5770	galaxy--lenticular	S0	S0	L	G	-1.9 ± 0.4	-1.9	S0	B	R	
D02410	NGC 5772	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.4	3	Sb		R	
F00369	NGC 5774	galaxy--spiral	SAcd	SAcd	S	G	6.9 ± 0.4	6.9	Scd	B		
D00714	NGC 5775	galaxy--spiral	Sbc	SBc	B	G	5.1 ± 0.7	5.1	SBc	B		
D00799	NGC 578	galaxy--spiral	Sc	SAc	S	G	5.0 ± 0.4	5	Sc	B		
D01375	NGC 5786	galaxy--spiral	Sc	SAbc	S	G	4.2 ± 0.7	4.2	Sbc	B		
D02411	NGC 5791	galaxy--elliptical	E3	E3	E	G	-4.2 ± 1.3	-4.2	E			
D02413	NGC 5792	galaxy--spiral	SAb	SAb	S	G	3.0 ± 0.3	3	Sb	B	R	
F01036	NGC 5806	galaxy--spiral	SAB(s)b	SA(s)b	S	G	3.2 ± 0.8	3.2	Sb	B	R	
F01037	NGC 5811	dwarf-galaxy	SBm	SBm	B	G	9.1 ± 0.6	9.1	SBm	B		
D02412	NGC 5812	galaxy--elliptical	E0	E3	E	G	-4.8 ± 0.4	-4.8	E			
D00716	NGC 5813	galaxy--elliptical	E1...	E3	E	G	-4.9 ± 0.4	-4.9	E			
F01038	NGC 5814	galaxy--spiral	SAab	SAab	S	G	2.0 ± 1.0	2	Sab			
F00741	NGC 5826	galaxy--unclassified		S0	L	G	-2.0 ± 0.5	-2	S0			
D02414	NGC 5831	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.5	-4.8	E			
D02415	NGC 5832	barred-spiral	SB(rs)b?	SA(rs)b	S	G	3.3 ± 1.3	3.3	Sb	B		
D01378	NGC 5833	galaxy--spiral	Sc	SBbc	B	G	4.3 ± 0.7	4.3	SBbc	B		
D00928	NGC 5838	galaxy--lenticular	E/S0	E-S0	L	G	-2.6 ± 0.6	-2.6	E-S0	B		
F00376	NGC 5839	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.5	-2	S0	B		
D00326	NGC 584	galaxy--elliptical	S0	E3	E	G	-4.7 ± 0.9	-4.7	E			
F00377	NGC 5845	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.3	-4.9	E			
D00529	NGC 5846	galaxy--elliptical	E0-1/S0	E3	E	G	-4.8 ± 0.7	-4.8	E			
F01614	NGC 5848	galaxy--lenticular	S0	S0-a	L	G	-1.0 ± 0.6	-1	S0-a	B		
F00378	NGC 5850	barred-spiral	SB(r)b	SA(r)b	S	G	3.1 ± 0.3	3.1	Sb	B	R	
D02416	NGC 5854	galaxy--lenticular	S0-Aa	S0-a	L	G	-1.1 ± 0.6	-1.1	S0-a	B	R	
F00379	NGC 5857	galaxy--spiral	Sa	SBab	B	G	2.4 ± 1.0	2.4	SBab	B		
F00380	NGC 5858	galaxy--elliptical		E3	E	G	-4.5 ± 1.1	-4.5	E			
D02417	NGC 5859	barred-spiral	SBb	SBbc	B	G	4.0 ± 0.2	4	SBbc	B		
F00616	NGC 586	galaxy--spiral	Sa	SAa	S	G	0.7 ± 1.0	0.7	Sa			
D02418	NGC 5861	galaxy--spiral	Sc	SABc	I	G	5.0 ± 0.5	5	SABc	B	R	
F00740	NGC 5862	galaxy--unclassified		E3	E	G	-5.0 ± 2.0	-5	E			
D02419	NGC 5864	galaxy--lenticular	S0	S0	L	G	-1.6 ± 1.0	-1.6	S0	B	R	
F00382	NGC 5865	galaxy--lenticular	E/S0	E-S0	L	G	-2.6 ± 0.7	-2.6	E-S0	B		
D02420	NGC 5869	galaxy--elliptical		S0	L	G	-2.2 ± 0.9	-2.2	S0			
D02421	NGC 5874	galaxy--spiral	SAbc	SABc	I	G	5.0 ± 0.7	5	SABc	B		
D02422	NGC 5875	galaxy--spiral	Sb	SAb	S	G	3.2 ± 0.6	3.2	Sb		R	
F00384	NGC 5875A	galaxy--unclassified	cI	SBbc	B	G	4.0 ± 1.4	4	SBbc			PGC 54061
F00383	NGC 5876	galaxy--spiral	S0?	SBab	B	G	1.5 ± 0.6	1.5	SBab	B	R	
D02423	NGC 5878	galaxy--spiral	Sb	SAb	S	G	3.2 ± 0.5	3.2	Sb			
D00927	NGC 5879	galaxy--spiral	SA(rs)bc	SA(rs)bc	S	G	3.6 ± 0.6	3.6	Sbc	B		
D00717	NGC 5885	galaxy--spiral	SBc	SABc	I	G	5.0 ± 0.4	5	SABc	B	R	
D02424	NGC 5892	barred-spiral	SBc	SABc	I	G	7.0 ± 0.3	7	SABc	B		
D00930	NGC 5898	galaxy--elliptical	E0	E0	E	G	-4.3 ± 0.9	-4.3	E	B		
F00803	NGC 5903	galaxy--elliptical	E2	E3	E	G	-4.8 ± 0.5	-4.8	E			
D02425	NGC 5905	barred-spiral	SB(r)b	SA(r)b	S	G	3.2 ± 0.6	3.2	Sb	B	R	
D00530	NGC 5907	galaxy--spiral	SABc	SABc	I	G	5.2 ± 0.7	5.2	SABc	B		
F00385	NGC 5908	galaxy--unclassified		SBb	B	G	3.0 ± 0.4	3	SBb	B		
F00386	NGC 5909	galaxy--spiral	SAbc	SAbc	S	G	3.5 ± 1.4	3.5	Sbc			
D02426	NGC 5912	galaxy--elliptical	E/S0	E-S0	L	G	-3.2 ± 1.7	-3.2	E-S0			
D02427	NGC 5921	barred-spiral	SB(r)bc	SA(r)bc	S	G	4.0 ± 0.2	4	Sbc	B	R	
D02428	NGC 5936	barred-spiral	SBb	SBb	B	G	3.2 ± 0.6	3.2	SBb	B	R	
D01379	NGC 5938	galaxy--spiral	E	SBbc	B	G	4.3 ± 0.6	4.3	SBbc	B		
D02429	NGC 5949	galaxy--spiral	Sc	SAbc	S	G	4.0 ± 0.3	4	Sbc		R	
F00388	NGC 5951	galaxy--spiral	Sc	SBc	B	G	5.2 ± 0.5	5.2	SBc	B		
D02430	NGC 5953	galaxy--lenticular	S0	S0-a	L	G	0.1 ± 1.6	0.1	S0-a			
F00387	NGC 5954	galaxy--spiral	Sc	SABc	I	G	5.9 ± 0.5	5.9	SABc	B		
D00327	NGC 596	galaxy--elliptical	E2	E2	E	G	-4.3 ± 0.5	-4.3	E			
D00719	NGC 5962	galaxy--spiral	Sc	SAc	S	G	5.1 ± 0.7	5.1	Sc		R	
F00389	NGC 5963	galaxy--spiral	Sbc	SABb	I	G	4.1 ± 1.3	4.1	SABb	B		
D00718	NGC 5964	barred-spiral	SBcd	SBcd	B	G	6.9 ± 0.5	6.9	SBcd	B		
D02431	NGC 5965	galaxy--spiral	Sb	SABb	I	G	3.1 ± 0.5	3.1	SABb	B		
F00390	NGC 5969	galaxy--unclassified		E3	E	G	-4.3 ± 1.8	-4.3	E			
D02432	NGC 5970	barred-spiral	SBbc	SBc	B	G	5.0 ± 0.6	5	SBc	B	R	
F00391	NGC 5971	galaxy--unclassified		SAa	S	G	1.1 ± 0.5	1.1	Sa		R	
F00737	NGC 5976	galaxy--unclassified	S0(r)	S0	L	G	-2.0 ± 0.4	-2	S0		R	
D02433	NGC 5980	galaxy--spiral	Sbc	SAbc	S	G	4.4 ± 1.6	4.4	Sbc			
F00738	NGC 5981	galaxy--spiral	Sc	SBbc	B	G	4.2 ± 0.6	4.2	SBbc	B		
D00531	NGC 5982	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00739	NGC 5985	galaxy--spiral	Sb	SAb	S	G	3.1 ± 0.3	3.1	Sb	B	R	
F00617	NGC 600	barred-spiral	SBd	SAcd	S	G	7.0 ± 0.4	7	Scd	B	R	
D02435	NGC 6010	galaxy--lenticular	S0-a	S0-a	L	G	0.3 ± 0.8	0.3	S0-a			
D02436	NGC 6012	barred-spiral	(R)SB(r)ab:	SB(r)ab	B	G	1.7 ± 0.8	1.7	SBab	B	R	
D00720	NGC 6015	barred-spiral	SBcd	SAc	S	G	5.9 ± 0.4	5.9	Sc			
D02842	NGC 6027	galaxy--lenticular	S0pec	S0-a	L	G	-1.5 ± 1.2	-1.5	S0-a			
F01667	NGC 6027A	galaxy--spiral	Sa pec	S0-a	L	G	0.3 ± 2.0	0.3	S0-a			
F01668	NGC 6027B	galaxy--lenticular	S0 pec	S0	L	G	-2.0 ± 0.4	-2	S0			
F01669	NGC 6027C	barred-spiral	SBc	SBc	B	G	5.3 ± 1.2	5.3	SBc	B		
F01670	NGC 6027D	barred-spiral	SB(s)bc	SAcd	S	G	7.0 ± 2.0	7	Scd			
F01671	NGC 6027E	galaxy--unclassified	tidal tail	S0-a	L	G	-1.5 ± 1.1	-1.5	S0-a	B		
F01673	NGC 6039	galaxy--unclassified		E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0			
F01674	NGC 6040	galaxy--unclassified		SABc	I	G	4.8 ± 0.6	4.8	SABc	B	R	
F01676	NGC 6042	galaxy--unclassified		E-S0	L	G	-2.9 ± 0.5	-2.9	E-S0			
F01677	NGC 6043	galaxy--unclassified		E-S0	L	G	-3.2 ± 1.7	-3.2	E-S0	B		
F01678	NGC 6044	galaxy--unclassified		S0	L	G	-2.4 ± 0.6	-2.4	S0		R	
D02844	NGC 6047	galaxy--unclassified	E4	E4	E	G	-3.6 ± 0.7	-3.6	E			
F01680	NGC 6050	galaxy--unclassified		SAc	S	?	4.9 ± 0.5	4.9	Sc	B		
F01682	NGC 6053	galaxy--unclassified		SAa	S	G	1.2 ± 1.5	1.2	Sa	B		
F01683	NGC 6054	galaxy--unclassified		E4	E	G	-3.6 ± 1.0	-3.6	E	B		
F01681	NGC 6056	galaxy--unclassified		S0-a	L	G	-0.9 ± 0.7	-0.9	S0-a	B		
D02438	NGC 6060	galaxy--spiral	SAbc	SABc	I	G	4.8 ± 0.7	4.8	SABc	B	R	
D02439	NGC 6070	galaxy--spiral	Sc	SAc	S	G	5.9 ± 0.4	5.9	Sc			
D00532	NGC 6118	galaxy--spiral	Sc	SAc	S	G	6.0 ± 0.3	6	Sc			
D00328	NGC 613	barred-spiral	SBb	SAbc	S	G	4.0 ± 0.2	4	Sbc	B		
F00394	NGC 6138	galaxy--spiral	Sb	E3	E	G	-4.8 ± 0.6	-4.8	E			
D02440	NGC 6140	barred-spiral	SBc	SAc	S	G	5.6 ± 0.6	5.6	Sc	B		
F00395	NGC 6141	galaxy--unclassified	SB0-a	S0-a	L	G	-0.7 ± 3.6	-0.7	S0-a	B		
F00396	NGC 6145	galaxy--unclassified	Sb	SAb	S	G	2.7 ± 1.8	2.7	Sb			
D02441	NGC 6146	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.5	-4.8	E			
F00397	NGC 6147	galaxy--unclassified	Sc	SAc	S	G	4.9 ± 2.3	4.9	Sc			
D00329	NGC 615	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.4	3	Sb		R	
D02442	NGC 6155	galaxy--spiral	Sc	SBbc	B	G	4.1 ± 1.9	4.1	SBbc	B	R	
D02443	NGC 6156	galaxy--spiral	Sc	SAc	S	G	5.0 ± 0.5	5	Sc	B		
F00771	NGC 6158	galaxy--elliptical		E3	E	G	-4.3 ± 1.8	-4.3	E			
D00932	NGC 6166	galaxy--elliptical	E2p	E2 pec	E	G	-4.3 ± 0.5	-4.3	E			
D02444	NGC 6181	galaxy--spiral	SA(rs)c	SAB(rs)c	I	G	5.1 ± 0.7	5.1	SABc	B		
D00201	NGC 6207	galaxy--spiral	SA(s)c	SA(s)c	S	G	5.0 ± 0.6	5	Sc			
D01411	NGC 6215	galaxy--spiral	Sc	SAc	S	G	4.9 ± 0.4	4.9	Sc			
